"beg_date","count(*)"
"1974-03-01","679"
"1974-04-01","568"
"1974-05-01","521"
"1974-06-01","704"
"1974-07-01","579"
"1974-08-01","477"
"1974-09-01","463"
"1974-10-01","398"
"1974-11-01","761"
"1974-12-01","455"
"1975-01-01","565"
"1975-02-01","517"
"1975-03-01","519"
"1975-04-01","425"
"1975-05-01","395"
"1975-06-01","429"
"1975-07-01","453"
"1975-08-01","452"
"1975-09-01","478"
"1975-10-01","626"
"1975-11-01","480"
"1975-12-01","409"
"1976-01-01","631"
"1976-02-01","1211"
"1976-03-01","600"
"1976-04-01","731"
"1976-05-01","488"
"1976-06-01","577"
"1976-07-01","498"
"1976-08-01","1117"
"1976-09-01","691"
"1976-10-01","529"
"1976-11-01","840"
"1976-12-01","552"
"1977-01-01","1249"
"1977-02-01","559"
"1977-03-01","697"
"1977-04-01","720"
"1977-05-01","833"
"1977-06-01","554"
"1977-07-01","691"
"1977-08-01","541"
"1977-09-01","1445"
"1977-10-01","660"
"1977-11-01","933"
"1977-12-01","631"
"1978-01-01","1224"
"1978-02-01","1798"
"1978-03-01","825"
"1978-04-01","617"
"1978-05-01","1103"
"1978-06-01","704"
"1978-07-01","745"
"1978-08-01","702"
"1978-09-01","3299"
"1978-10-01","479"
"1978-11-01","786"
"1978-12-01","472"
"1979-01-01","585"
"1979-02-01","839"
"1979-03-01","598"
"1979-04-01","557"
"1979-05-01","971"
"1979-06-01","806"
"1979-07-01","757"
"1979-08-01","767"
"1979-09-01","804"
"1979-10-01","659"
"1979-11-01","1028"
"1979-12-01","653"
"1980-01-01","2238"
"1980-02-01","777"
"1980-03-01","674"
"1980-04-01","811"
"1980-05-01","790"
"1980-06-01","767"
"1980-07-01","1005"
"1980-08-01","938"
"1980-09-01","903"
"1980-10-01","2378"
"1980-11-01","823"
"1980-12-01","899"
"1981-01-01","895"
"1981-02-01","1018"
"1981-03-01","1193"
"1981-04-01","1015"
"1981-05-01","1144"
"1981-06-01","1004"
"1981-07-01","833"
"1981-08-01","1011"
"1981-09-01","924"
"1981-10-01","1096"
"1981-11-01","1799"
"1981-12-01","1832"
"1982-01-01","1711"
"1982-02-01","2257"
"1982-03-01","2076"
"1982-04-01","1744"
"1982-05-01","1661"
"1982-06-01","1697"
"1982-07-01","1798"
"1982-08-01","1799"
"1982-09-01","1881"
"1982-10-01","2179"
"1982-11-01","1775"
"1982-12-01","1616"
"1983-01-01","1576"
"1983-02-01","1263"
"1983-03-01","2905"
"1983-04-01","2171"
"1983-05-01","2164"
"1983-06-01","3796"
"1983-07-01","3028"
"1983-08-01","3004"
"1983-09-01","2727"
"1983-10-01","2814"
"1983-11-01","2326"
"1983-12-01","2250"
"1984-01-01","2531"
"1984-02-01","2442"
"1984-03-01","2540"
"1984-04-01","2478"
"1984-05-01","2544"
"1984-06-01","2972"
"1984-07-01","2679"
"1984-08-01","2653"
"1984-09-01","2535"
"1984-10-01","2724"
"1984-11-01","2226"
"1984-12-01","2009"
"1985-01-01","2310"
"1985-02-01","2417"
"1985-03-01","2577"
"1985-04-01","2622"
"1985-05-01","2570"
"1985-06-01","2366"
"1985-07-01","2907"
"1985-08-01","2626"
"1985-09-01","2474"
"1985-10-01","2993"
"1985-11-01","2684"
"1985-12-01","2359"
"1986-01-01","3016"
"1986-02-01","2626"
"1986-03-01","2946"
"1986-04-01","3170"
"1986-05-01","3557"
"1986-06-01","2851"
"1986-07-01","3307"
"1986-08-01","3323"
"1986-09-01","3044"
"1986-10-01","3483"
"1986-11-01","2959"
"1986-12-01","3168"
"1987-01-01","3640"
"1987-02-01","3527"
"1987-03-01","3991"
"1987-04-01","3317"
"1987-05-01","3655"
"1987-06-01","3875"
"1987-07-01","4883"
"1987-08-01","3562"
"1987-09-01","4065"
"1987-10-01","3967"
"1987-11-01","3974"
"1987-12-01","2970"
"1988-01-01","4378"
"1988-02-01","5685"
"1988-03-01","4146"
"1988-04-01","5064"
"1988-05-01","5088"
"1988-06-01","3345"
"1988-07-01","3530"
"1988-08-01","3628"
"1988-09-01","3588"
"1988-10-01","4215"
"1988-11-01","4094"
"1988-12-01","2899"
"1989-01-01","4285"
"1989-02-01","3604"
"1989-03-01","4432"
"1989-04-01","3836"
"1989-05-01","4806"
"1989-06-01","4338"
"1989-07-01","3500"
"1989-08-01","4671"
"1989-09-01","3953"
"1989-10-01","4030"
"1989-11-01","6005"
"1989-12-01","2872"
"1990-01-01","5082"
"1990-02-01","3795"
"1990-03-01","4753"
"1990-04-01","3900"
"1990-05-01","4148"
"1990-06-01","3340"
"1990-07-01","3536"
"1990-08-01","3968"
"1990-09-01","5135"
"1990-10-01","3996"
"1990-11-01","3426"
"1990-12-01","2481"
"1991-01-01","5400"
"1991-02-01","3150"
"1991-03-01","3150"
"1991-04-01","4276"
"1991-05-01","3885"
"1991-06-01","3496"
"1991-07-01","3922"
"1991-08-01","3992"
"1991-09-01","3763"
"1991-10-01","4321"
"1991-11-01","3625"
"1991-12-01","2929"
"1992-01-01","5350"
